scenario_id,year,carbon_price_usd_per_tco2e
NGFS_NZ2050,2025,30
NGFS_NZ2050,2030,75
NGFS_NZ2050,2035,130
NGFS_NZ2050,2040,185
NGFS_NZ2050,2045,220
NGFS_NZ2050,2050,250
NGFS_DT,2025,10
NGFS_DT,2030,15
NGFS_DT,2035,60
NGFS_DT,2040,150
NGFS_DT,2045,200
NGFS_DT,2050,240
NGFS_CP,2025,8
NGFS_CP,2030,10
NGFS_CP,2035,12
NGFS_CP,2040,14
NGFS_CP,2045,16
NGFS_CP,2050,18
IEA_NZE,2025,40
IEA_NZE,2030,100
IEA_NZE,2035,160
IEA_NZE,2040,200
IEA_NZE,2045,230
IEA_NZE,2050,250
IEA_APS,2025,20
IEA_APS,2030,50
IEA_APS,2035,90
IEA_APS,2040,130
IEA_APS,2045,165
IEA_APS,2050,190
IEA_STEPS,2025,12
IEA_STEPS,2030,20
IEA_STEPS,2035,35
IEA_STEPS,2040,50
IEA_STEPS,2045,65
IEA_STEPS,2050,80
